t,idx,mid,ring,little,thumb
0.0272,46,46,46,46,46
0.0636,46,46,46,46,46
0.1091,46,46,46,46,46
0.1417,46,46,46,46,46
0.1745,46,46,46,46,46
0.2054,46,46,46,46,46
0.2374,46,46,46,46,46
0.2685,46,46,46,46,46
0.2997,46,46,46,46,46
0.3317,46,46,46,46,46
0.3639,46,46,46,46,46
0.3973,46,46,46,46,46
0.4279,46,46,46,46,46
0.4652,46,46,46,46,47
0.5088,46,46,46,46,46
0.5394,46,46,46,46,46
0.5718,46,46,46,46,47
0.6042,46,46,46,46,46
0.6357,46,46,46,46,46
0.6678,46,46,46,46,46
0.6972,46,46,46,46,46
0.7333,46,46,46,46,47
0.7649,46,46,46,46,48
0.7954,46,46,46,46,47
0.8275,46,46,46,46,47
0.8607,46,46,46,46,46
0.9074,46,46,46,46,47
0.9402,46,46,46,46,46
0.9720,46,46,46,46,48
1.0054,46,46,46,46,47
1.0356,46,46,46,46,48
1.0675,46,46,46,46,49
1.1005,46,46,46,46,48
1.1317,46,46,46,46,48
1.1639,46,46,46,46,47
1.1952,46,46,46,46,48
1.2281,46,46,46,46,50
1.2602,46,46,46,46,55
1.3137,46,46,46,46,58
1.3399,46,46,46,46,64
1.3710,46,46,46,46,70
1.4030,47,46,46,46,76
1.4376,53,52,52,52,82
1.4692,59,58,58,58,88
1.5001,65,64,64,64,94
1.5315,71,70,70,70,100
1.5647,77,76,76,76,106
1.5952,83,82,82,82,112
1.6279,89,88,88,88,117
1.6609,95,94,94,94,122
1.7113,101,100,100,100,125
1.7415,107,106,106,106,128
1.7741,113,112,108,104,134
1.8076,107,106,102,98,138
1.8359,101,100,96,92,136
1.8675,95,94,90,86,135
1.9041,89,88,84,80,137
1.9324,83,82,78,74,140
1.9660,88,88,80,77,142
1.9989,94,94,86,83,142
2.0314,94,94,80,77,144
2.0633,88,88,74,71,144
2.1085,82,82,68,65,146
2.1405,82,84,66,68,147
2.1727,78,84,66,68,148
2.2059,72,78,61,62,147
2.2380,66,72,57,58,144
2.2691,61,66,54,55,143
2.3007,67,72,60,61,144
2.3346,73,78,66,67,146
2.3648,79,84,72,73,146
2.3959,85,90,78,79,144
2.4271,91,96,84,85,142
2.4593,97,102,90,91,144
